"Text Editing","Show Tooltip Description","F2","Editing Text"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Source","Toggle Comment","Esc Ctrl+C","Editing Properties Files"
"SVN","Merge...","Ctrl+Alt+E","In Windows"
"Source","Format","Esc Ctrl+F","Editing JavaScript Source"
"Source","Format","Esc Ctrl+F","Editing Java Source"
"Run/Debug","Run Android Application","Shift+Alt+A R","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"C/C++ Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Task","New Local Task","Insert","In Tasks View"
"Task","Mark Task Incomplete","Shift+Alt+I","In Tasks Editor"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"C/C++ Source","Go to Next Member","Shift+Ctrl+Down","C/C++ Editor"
"Run/Debug","Step Over","F6","Debugging"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Refactor - JavaScript","Extract Local Variable","Shift+Alt+L","JavaScript View"
"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"C/C++ Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Search","Show Occurrences in File Quick Menu","Shift+Ctrl+U","In Windows"
"Views","Show View (View: Synchronize)","Shift+Alt+Q Y","In Windows"
"Navigate","Next Tab","Ctrl+Alt+Right","In Windows"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing JavaScript Source"
"Navigate","Open Task","Ctrl+F12","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Run/Debug","Run Eclipse Application","Shift+Alt+X E","In Windows"
"Navigate","Open Resource","Shift+Ctrl+R","In Windows"
"C/C++ Source","Find Declaration","Ctrl+G","C/C++ Editor"
"File","Properties","Alt+Enter","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing JavaScript Source"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Navigate","Go Into","Ctrl+Alt+Down","In Windows"
"Task","Mark Task Complete","Shift+Alt+C","In Tasks Editor"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Views","Show View (View: Problems)","Shift+Alt+Q X","In Windows"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In C/C++ Views"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Reverse Debugging Commands","Reverse Resume","Shift+F8","Debugging C/C++"
"Views","Show View (View: Console)","Shift+Alt+Q C","In Windows"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"C/C++ Source","Forward","Alt+Right","In Macro Expansion Hover"
"Window","Previous View","Shift+Ctrl+F7","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Run/Debug","Use Step Filters","Shift+F5","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Views","Show View (View: Variables)","Shift+Alt+Q V","In Windows"
"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Navigate","Open Type","Shift+Ctrl+T","Editing JavaScript Source"
"C/C++ Source","Show Source Quick Menu","Shift+Alt+S","C/C++ Editor"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Run/Debug","Run OSGi Framework","Shift+Alt+X O","In Windows"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"File","Close","Ctrl+W","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing JavaScript Source"
"Navigate","Go to Matching Bracket","Shift+Ctrl+P","Editing JavaScript Source"
